Category,Category AR,Name,Name AR,Price,Available
Hot Drinks,مشروبات ساخنة,شاي,شاي,20,TRUE
Hot Drinks,مشروبات ساخنة,شاي أخضر,شاي أخضر,30,TRUE
Hot Drinks,مشروبات ساخنة,نعناع,نعناع,25,TRUE
Hot Drinks,مشروبات ساخنة,ينسون,ينسون,35,TRUE
Hot Drinks,مشروبات ساخنة,شاي باللبن,شاي باللبن,40,TRUE
Hot Drinks,مشروبات ساخنة,سحلب,سحلب,45,TRUE
Hot Drinks,مشروبات ساخنة,تيليو,تيليو,20,TRUE
Hot Drinks,مشروبات ساخنة,قرفة,قرفة,40,TRUE
Hot Drinks,مشروبات ساخنة,زنجبيل,زنجبيل,49,TRUE
Hot Drinks,مشروبات ساخنة,هوت شوكلت,هوت شوكلت,60,TRUE
Coffee drinks,القهوة,كورتادو,كورتادو,45,TRUE
Coffee drinks,القهوة,قهوة تركي,قهوة تركي,30,TRUE
Coffee drinks,القهوة,قهوة تركي مظبوط,قهوة تركي مظبوط,40,TRUE
Coffee drinks,القهوة,قهوة فرنساوي,قهوة فرنساوي,35,TRUE
Coffee drinks,القهوة,قهوة بندق,قهوة بندق,45,TRUE
Coffee drinks,القهوة,اسبريسو,اسبريسو,45,TRUE
Coffee drinks,القهوة,دبل اسبريسو,دبل اسبريسو,50,TRUE
Coffee drinks,القهوة,ميكاتو,ميكاتو,45,TRUE
Coffee drinks,القهوة,كابتشينو,كابتشينو,55,TRUE
Coffee drinks,القهوة,لاتيه,لاتيه,50,TRUE
Coffee drinks,القهوة,موكا,موكا,55,TRUE
Coffee drinks,القهوة,قهوة عربي,قهوة عربي,45,TRUE
Coffee drinks,القهوة,قهوة فرنساوي بندق,قهوة فرنساوي بندق,65,TRUE
Coffee drinks,القهوة,نسكافيه,نسكافيه,50,TRUE
Coffee drinks,القهوة,نسكافيه باللبن,نسكافيه باللبن,60,TRUE
Coffee drinks,القهوة,قهوة باللبن,قهوة باللبن,45,TRUE
Coffee drinks,القهوة,فلات وايت,فلات وايت,65,TRUE
Coffee drinks,القهوة,اسبريسو ميكاتو,اسبريسو ميكاتو,50,TRUE
Coffee drinks,القهوة,كابتشينو كراميل,كابتشينو كراميل,60,TRUE
Coffee drinks,القهوة,لاتيه فانيليا,لاتيه فانيليا,65,TRUE
Coffee drinks,القهوة,موكا وايت,موكا وايت,70,TRUE
Coffee drinks,القهوة,قهوة مثلجة,قهوة مثلجة,70,TRUE
Coffee drinks,القهوة,كابتشينو بندق,كابتشينو بندق,65,TRUE
Coffee drinks,القهوة,لاتيه كراميل,لاتيه كراميل,70,TRUE
Frappe,فرابيه,فرابيه كلاسيك,فرابيه كلاسيك,70,TRUE
Frappe,فرابيه,فرابيه كراميل,فرابيه كراميل,80,TRUE
Frappe,فرابيه,فرابيه شوكولاتة,فرابيه شوكولاتة,80,TRUE
Frappe,فرابيه,فرابيه فانيليا,فرابيه فانيليا,80,TRUE
Frappe,فرابيه,فرابيه موكا,فرابيه موكا,80,TRUE
Frappe,فرابيه,فرابيه لوتس,فرابيه لوتس,100,TRUE
Frappe,فرابيه,فرابيه بندق,فرابيه بندق,90,TRUE
Ice coffee,آيس كوفي,آيس لاتيه,آيس لاتيه,65,TRUE
Ice coffee,آيس كوفي,آيس موكا (دارك - وايت),آيس موكا (دارك - وايت),70,TRUE
Ice coffee,آيس كوفي,آيس كراميل,آيس كراميل,75,TRUE
Ice coffee,آيس كوفي,آيس اسبانيش لاتيه,آيس اسبانيش لاتيه,75,TRUE
Ice coffee,آيس كوفي,آيس لاتيه بندق,آيس لاتيه بندق,70,TRUE
Ice coffee,آيس كوفي,آيس كراميل ميكاتو,آيس كراميل ميكاتو,80,TRUE
Ice coffee,آيس كوفي,آيس موكا شيك,آيس موكا شيك,75,TRUE
Ice coffee,آيس كوفي,آيس لاتيه (لايت),آيس لاتيه (لايت),65,TRUE
Fresh juices,عصائر فريش,برتقال,برتقال,65,TRUE
Fresh juices,عصائر فريش,فراولة,فراولة,60,TRUE
Fresh juices,عصائر فريش,مانجو,مانجو,50,TRUE
Fresh juices,عصائر فريش,جوافة,جوافة,60,TRUE
Fresh juices,عصائر فريش,موز,موز,60,TRUE
Fresh juices,عصائر فريش,ليمون,ليمون,50,TRUE
Fresh juices,عصائر فريش,ليمون نعناع,ليمون نعناع,55,TRUE
Fresh juices,عصائر فريش,رمان,رمان,60,TRUE
Fresh juices,عصائر فريش,بطيخ,بطيخ,60,TRUE
Fresh juices,عصائر فريش,أناناس,أناناس,65,TRUE
Rosa garden,روزا جاردن,روزا ليمون,روزا ليمون,70,TRUE
Rosa garden,روزا جاردن,روزا فراولة,روزا فراولة,75,TRUE
Rosa garden,روزا جاردن,روزا مانجو,روزا مانجو,75,TRUE
Rosa garden,روزا جاردن,روزا بطيخ,روزا بطيخ,75,TRUE
Rosa garden,روزا جاردن,روزا توت,روزا توت,75,TRUE
Rosa garden,روزا جاردن,روزا أناناس,روزا أناناس,70,TRUE
Rosa garden,روزا جاردن,روزا مشكل,روزا مشكل,75,TRUE
Rosa garden,روزا جاردن,روزا كيوي,روزا كيوي,80,TRUE
Smoothie,سموذي,سموذي فراولة,سموذي فراولة,60,TRUE
Smoothie,سموذي,سموذي مانجو,سموذي مانجو,60,TRUE
Smoothie,سموذي,سموذي موز,سموذي موز,65,TRUE
Smoothie,سموذي,سموذي توت,سموذي توت,65,TRUE
Smoothie,سموذي,سموذي خوخ,سموذي خوخ,65,TRUE
Smoothie,سموذي,سموذي أناناس,سموذي أناناس,65,TRUE
Smoothie,سموذي,سموذي كيوي,سموذي كيوي,65,TRUE
Smoothie,سموذي,سموذي بطيخ نعناع,سموذي بطيخ نعناع,65,TRUE
Smoothie,سموذي,سموذي فراولة موز,سموذي فراولة موز,65,TRUE
Smoothie,سموذي,سموذي مانجو خوخ,سموذي مانجو خوخ,70,TRUE
Smoothie,سموذي,سموذي توت مشكل,سموذي توت مشكل,70,TRUE
Smoothie,سموذي,سموذي أفوكادو,سموذي أفوكادو,70,TRUE
Smoothie,سموذي,سموذي تمر,سموذي تمر,65,TRUE
Smoothie,سموذي,سموذي قهوة,سموذي قهوة,70,TRUE
Mojito,موهيتو,موهيتو كلاسيك,موهيتو كلاسيك,60,TRUE
Mojito,موهيتو,موهيتو فراولة,موهيتو فراولة,65,TRUE
Mojito,موهيتو,موهيتو مانجو,موهيتو مانجو,65,TRUE
Mojito,موهيتو,موهيتو باشن,موهيتو باشن,65,TRUE
Mojito,موهيتو,موهيتو توت,موهيتو توت,70,TRUE
Mojito,موهيتو,موهيتو نعناع,موهيتو نعناع,65,TRUE
Mojito,موهيتو,موهيتو ليمون,موهيتو ليمون,65,TRUE
Mojito,موهيتو,موهيتو خوخ,موهيتو خوخ,65,TRUE
Mojito,موهيتو,موهيتو كيوي,موهيتو كيوي,65,TRUE
Mojito,موهيتو,موهيتو أناناس,موهيتو أناناس,65,TRUE
Mojito,موهيتو,موهيتو بطيخ,موهيتو بطيخ,65,TRUE
Mojito,موهيتو,موهيتو تفاح,موهيتو تفاح,65,TRUE
redbull,ريدبول,ريدبول,ريدبول,120,TRUE
redbull,ريدبول,ريدبول (فراولة - توت - خوخ),ريدبول (فراولة - توت - خوخ),120,TRUE
Milkshakes,ميلك شيك,ميلك شيك فانيليا,ميلك شيك فانيليا,60,TRUE
Milkshakes,ميلك شيك,ميلك شيك شوكولاتة,ميلك شيك شوكولاتة,65,TRUE
Milkshakes,ميلك شيك,ميلك شيك فراولة,ميلك شيك فراولة,65,TRUE
Milkshakes,ميلك شيك,ميلك شيك مانجو,ميلك شيك مانجو,65,TRUE
Milkshakes,ميلك شيك,ميلك شيك كراميل,ميلك شيك كراميل,65,TRUE
Milkshakes,ميلك شيك,ميلك شيك لوتس,ميلك شيك لوتس,65,TRUE
Milkshakes,ميلك شيك,ميلك شيك أوريو,ميلك شيك أوريو,65,TRUE
Milkshakes,ميلك شيك,ميلك شيك كيوي,ميلك شيك كيوي,65,TRUE
Milkshakes,ميلك شيك,ميلك شيك قهوة,ميلك شيك قهوة,70,TRUE
Milkshakes,ميلك شيك,ميلك شيك بندق,ميلك شيك بندق,80,TRUE
desserts,حلويات,تشيز كيك,تشيز كيك,60,TRUE
desserts,حلويات,مولتن كيك,مولتن كيك,70,TRUE
desserts,حلويات,سينابون,سينابون,70,TRUE
desserts,حلويات,وافل,وافل,80,TRUE
desserts,حلويات,بان كيك,بان كيك,100,TRUE
desserts,حلويات,كوكيز,كوكيز,80,TRUE
desserts,حلويات,براونيز,براونيز,120,TRUE
desserts,حلويات,أم علي,أم علي,60,TRUE
Extra,إضافات,إضافة شوت اسبريسو,إضافة شوت اسبريسو,30,TRUE
Extra,إضافات,إضافة لبن,إضافة لبن,20,TRUE
Extra,إضافات,إضافة كريمة,إضافة كريمة,20,TRUE
Extra,إضافات,إضافة صوص كراميل,إضافة صوص كراميل,15,TRUE
Extra,إضافات,إضافة صوص شوكولاتة,إضافة صوص شوكولاتة,15,TRUE
Extra,إضافات,إضافة فانيليا,إضافة فانيليا,15,TRUE
Extra,إضافات,إضافة بندق,إضافة بندق,25,TRUE
Extra,إضافات,إضافة كراميل,إضافة كراميل,20,TRUE
Extra,إضافات,إضافة مارشميلو,إضافة مارشميلو,15,TRUE
Extra,إضافات,إضافة قرفة,إضافة قرفة,15,TRUE
Extra,إضافات,إضافة لوتس,إضافة لوتس,30,TRUE
Extra,إضافات,إضافة أوريو,إضافة أوريو,30,TRUE
Rosa Garden Specials,روزا سبيشيال,بينك أثينا,بينك أثينا,115,TRUE
Rosa Garden Specials,روزا سبيشيال,سانتوريني لافندر,سانتوريني لافندر,120,TRUE
Rosa Garden Specials,روزا سبيشيال,ميديترينيان صن ست,ميديترينيان صن ست,125,TRUE
Rosa Garden Specials,روزا سبيشيال,جريك جاردن موهيتو,جريك جاردن موهيتو,125,TRUE
Rosa Garden Specials,روزا سبيشيال,بلو ميكونوس,بلو ميكونوس,120,TRUE
Rosa Garden Specials,روزا سبيشيال,بيري بلوسوم,بيري بلوسوم,125,TRUE
Rosa Garden Specials,روزا سبيشيال,كلاود روزا,كلاود روزا,145,TRUE
Rosa Garden Specials,روزا سبيشيال,هاني ليمون بريز,هاني ليمون بريز,155,TRUE
Rosa Garden Specials,روزا سبيشيال,أوليف جاردن سانجريا,أوليف جاردن سانجريا,110,TRUE
Rosa Garden Specials,روزا سبيشيال,روزا دريم,روزا دريم,135,TRUE
Chocolate,شوكولاتة,هوت شوكلت,هوت شوكلت,165,TRUE
Chocolate,شوكولاتة,دارك شوكلت أورانج,دارك شوكلت أورانج,155,TRUE
Chocolate,شوكولاتة,مينت شوكلت,مينت شوكلت,160,TRUE
Chocolate,شوكولاتة,وايت شوكلت بيري,وايت شوكلت بيري,165,TRUE
Chocolate,شوكولاتة,لوتس شوكلت,لوتس شوكلت,170,TRUE
Chocolate,شوكولاتة,بينو جاردن شوكلت,بينو جاردن شوكلت,180,TRUE
Colored Hot Drinks,مشروبات ملونة,بينك روز لاتيه,بينك روز لاتيه,125,TRUE
Colored Hot Drinks,مشروبات ملونة,لافندر لاتيه,لافندر لاتيه,125,TRUE
Colored Hot Drinks,مشروبات ملونة,بلو باترفلاي لاتيه,بلو باترفلاي لاتيه,130,TRUE
Colored Hot Drinks,مشروبات ملونة,بيستاشيو لاتيه,بيستاشيو لاتيه,145,TRUE
